Congruent,Incongruent,AVG Congruent,,AVG Incongruent
12.079,19.278,14.051125,3.889277016,22.01591667
16.791,18.741,14.051125,7.506915016,22.01591667
9.564,21.214,14.051125,20.13429077,22.01591667
8.63,15.687,14.051125,29.38859627,22.01591667
14.669,22.803,14.051125,0.381769516,22.01591667
12.238,20.878,14.051125,3.287422266,22.01591667
14.692,24.572,14.051125,0.410720766,22.01591667
8.987,17.394,14.051125,25.64536202,22.01591667
9.401,20.762,14.051125,21.62366252,22.01591667
14.48,26.282,14.051125,0.183933766,22.01591667
22.328,24.524,14.051125,68.50665977,22.01591667
15.298,18.644,14.051125,1.554697266,22.01591667
15.073,17.51,14.051125,1.044228516,22.01591667
16.929,20.33,14.051125,8.282164516,22.01591667
18.2,35.255,14.051125,17.21316377,22.01591667
12.13,22.158,14.051125,3.690721266,22.01591667
18.495,25.139,14.051125,19.74802502,22.01591667
10.639,20.429,14.051125,11.64259702,22.01591667
11.344,17.425,14.051125,7.328525766,22.01591667
12.369,34.288,14.051125,2.829544516,22.01591667
12.944,23.894,14.051125,1.225725766,22.01591667
14.233,17.96,14.051125,0.033078516,22.01591667
19.71,22.058,14.051125,32.02286627,22.01591667
16.004,21.157,14.051125,3.813720766,22.01591667
,,,,
Congruent Avg:,Incongruent Avg:,,,
14.051125,22.01591667,,,
